Name,Icon Image Link,Type,Display Name,2023 NH,2023 SH,2024 NH,2024 SH,Sort Date,Date Varies by Year,Start Time,End Time,Next Day Overlap,Version Added,Version Last Updated,Internal Label,Unique Entry ID,2025 NH,2025 SH,2026 NH,2026 SH,2027 NH,2027 SH,2028 NH,2028 SH,2029 NH,2029 SH,2030 NH,2030 SH,2031 NH,2031 SH,2032 NH,2032 SH,2033 NH,2033 SH,2034 NH,2034 SH,2035 NH,2035 SH,2036 NH,2036 SH,2037 NH,2037 SH,2038 NH,2038 SH,2039 NH,2039 SH,2040 NH,2040 SH,2041 NH,2041 SH,2042 NH,2042 SH,2043 NH,2043 SH,2044 NH,2044 SH,2045 NH,2045 SH,2046 NH,2046 SH,2047 NH,2047 SH,2048 NH,2048 SH,2049 NH,2049 SH,2050 NH,2050 SH,2051 NH,2051 SH,2052 NH,2052 SH,2053 NH,2053 SH,2054 NH,2054 SH,2055 NH,2055 SH,2056 NH,2056 SH,2057 NH,2057 SH,2058 NH,2058 SH,2059 NH,2059 SH,2060 NH,2060 SH
Virgo,https://acnhcdn.com/latest/MenuIcon/StarpieceVirgo.png,Zodiac season,Virgo,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23,No,5:00 AM,5:00 AM,Yes,1.0.0,1.0.0,NA,s5pDRHdgiSvDQqHdL,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22,Aug 23 - Sep 22
Libra,https://acnhcdn.com/latest/MenuIcon/StarpieceLibra.png,Zodiac season,Libra,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23,No,5:00 AM,5:00 AM,Yes,1.0.0,1.0.0,NA,9XGhdA9uRd8wpFcnF,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23,Sep 23 - Oct 23
Scorpio,https://acnhcdn.com/latest/MenuIcon/StarpieceScorpio.png,Zodiac season,Scorpio,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24,No,5:00 AM,5:00 AM,Yes,1.0.0,1.0.0,NA,596kyafmfDmHdW7ce,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22,Oct 24 - Nov 22
Sagittarius,https://acnhcdn.com/latest/MenuIcon/StarpieceSagittarius.png,Zodiac season,Sagittarius,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23,No,5:00 AM,5:00 AM,Yes,1.0.0,1.0.0,NA,bTaE6agqsduPGZ9h3,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21,Nov 23 - Dec 21
Capricorn,https://acnhcdn.com/latest/MenuIcon/StarpieceCapricorn.png,Zodiac season,Capricorn,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22,No,5:00 AM,5:00 AM,Yes,1.0.0,1.0.0,NA,Hg5dLT2EZYv4AqRHS,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19,Dec 22 - Jan 19
Aquarius,https://acnhcdn.com/latest/MenuIcon/StarpieceAquarius.png,Zodiac season,Aquarius,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20,No,5:00 AM,5:00 AM,Yes,1.0.0,1.0.0,NA,qhhHqPBRzJ7qLsocW,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18,Jan 20 - Feb 18
Birthday,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCake_Remake_2_0.png,Basegame event,Birthday,NA,NA,NA,NA,Mar 20,No,5:00 AM,12:00 AM,No,1.0.0,1.0.0,PlayerBirthday,8gF25cNHcBJxveb5A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fishing Tourney (Spring),https://acnhcdn.com/latest/NpcIcon/bey.png,Basegame event,Fishing Tourney,Apr 8,Oct 14,Apr 13,Oct 12,Apr 8,Yes,9:00 AM,6:00 PM,No,1.0.0,1.0.0,FishingConventionSpring,FGE5KSaw2fEX9M7Er,Apr 12,Oct 11,Apr 11,Oct 10,Apr 10,Oct 9,Apr 8,Oct 14,Apr 14,Oct 13,Apr 13,Oct 12,Apr 12,Oct 11,Apr 10,Oct 9,Apr 9,Oct 8,Apr 8,Oct 14,Apr 14,Oct 13,Apr 12,Oct 11,Apr 11,Oct 10,Apr 10,Oct 9,Apr 9,Oct 8,Apr 14,Oct 13,Apr 13,Oct 12,Apr 12,Oct 11,Apr 11,Oct 10,Apr 9,Oct 8,Apr 8,Oct 14,Apr 14,Oct 13,Apr 13,Oct 12,Apr 11,Oct 10,Apr 10,Oct 9,Apr 9,Oct 8,Apr 8,Oct 14,Apr 13,Oct 12,Apr 12,Oct 11,Apr 11,Oct 10,Apr 10,Oct 9,Apr 8,Oct 14,Apr 14,Oct 13,Apr 13,Oct 12,Apr 12,Oct 11,Apr 10,Oct 9
Fishing Tourney (Summer),https://acnhcdn.com/latest/NpcIcon/bey.png,Basegame event,Fishing Tourney,Jul 8,Jan 14,Jul 13,Jan 13,Jul 8,Yes,9:00 AM,6:00 PM,No,1.0.0,1.0.0,FishingConventionSummer,jfzXwMmKCGnb4cqcJ,Jul 12,Jan 11,Jul 11,Jan 10,Jul 10,Jan 9,Jul 8,Jan 8,Jul 14,Jan 13,Jul 13,Jan 12,Jul 12,Jan 11,Jul 10,Jan 10,Jul 9,Jan 8,Jul 8,Jan 14,Jul 14,Jan 13,Jul 12,Jan 12,Jul 11,Jan 10,Jul 10,Jan 9,Jul 9,Jan 8,Jul 14,Jan 14,Jul 13,Jan 12,Jul 12,Jan 11,Jul 11,Jan 10,Jul 9,Jan 9,Jul 8,Jan 14,Jul 14,Jan 13,Jul 13,Jan 12,Jul 11,Jan 11,Jul 10,Jan 9,Jul 9,Jan 8,Jul 8,Jan 14,Jul 13,Jan 13,Jul 12,Jan 11,Jul 11,Jan 10,Jul 10,Jan 9,Jul 8,Jan 8,Jul 14,Jan 13,Jul 13,Jan 12,Jul 12,Jan 11,Jul 10,Jan 10
Fishing Tourney (Fall),https://acnhcdn.com/latest/NpcIcon/bey.png,Basegame event,Fishing Tourney,Oct 14,Apr 8,Oct 12,Apr 13,Oct 8,Yes,9:00 AM,6:00 PM,No,1.0.0,1.0.0,FishingConventionAutumn,rqXb5bdvG9ES2DHSs,Oct 11,Apr 12,Oct 10,Apr 11,Oct 9,Apr 10,Oct 14,Apr 8,Oct 13,Apr 14,Oct 12,Apr 13,Oct 11,Apr 12,Oct 9,Apr 10,Oct 8,Apr 9,Oct 14,Apr 8,Oct 13,Apr 14,Oct 11,Apr 12,Oct 10,Apr 11,Oct 9,Apr 10,Oct 8,Apr 9,Oct 13,Apr 14,Oct 12,Apr 13,Oct 11,Apr 12,Oct 10,Apr 11,Oct 8,Apr 9,Oct 14,Apr 8,Oct 13,Apr 14,Oct 12,Apr 13,Oct 10,Apr 11,Oct 9,Apr 10,Oct 8,Apr 9,Oct 14,Apr 8,Oct 12,Apr 13,Oct 11,Apr 12,Oct 10,Apr 11,Oct 9,Apr 10,Oct 14,Apr 8,Oct 13,Apr 14,Oct 12,Apr 13,Oct 11,Apr 12,Oct 9,Apr 10
Fishing Tourney (Winter),https://acnhcdn.com/latest/NpcIcon/bey.png,Basegame event,Fishing Tourney,Jan 14,Jul 8,Jan 13,Jul 13,Jan 8,Yes,9:00 AM,6:00 PM,No,1.0.0,1.0.0,FishingConventionWinter,CbtNEeyHf4gohjx3G,Jan 11,Jul 12,Jan 10,Jul 11,Jan 9,Jul 10,Jan 8,Jul 8,Jan 13,Jul 14,Jan 12,Jul 13,Jan 11,Jul 12,Jan 10,Jul 10,Jan 8,Jul 9,Jan 14,Jul 8,Jan 13,Jul 14,Jan 12,Jul 12,Jan 10,Jul 11,Jan 9,Jul 10,Jan 8,Jul 9,Jan 14,Jul 14,Jan 12,Jul 13,Jan 11,Jul 12,Jan 10,Jul 11,Jan 9,Jul 9,Jan 14,Jul 8,Jan 13,Jul 14,Jan 12,Jul 13,Jan 11,Jul 11,Jan 9,Jul 10,Jan 8,Jul 9,Jan 14,Jul 8,Jan 13,Jul 13,Jan 11,Jul 12,Jan 10,Jul 11,Jan 9,Jul 10,Jan 8,Jul 8,Jan 13,Jul 14,Jan 12,Jul 13,Jan 11,Jul 12,Jan 10,Jul 10
Bug-Off (1),https://acnhcdn.com/latest/NpcIcon/chy.png,Basegame event,Bug-Off,Jun 24,Nov 18,Jun 22,Nov 16,Jun 22,Yes,9:00 AM,6:00 PM,No,1.0.0,1.0.0,InsectConvention1,ARcnvRvmH6ug2JBXi,Jun 28,Nov 15,Jun 27,Nov 21,Jun 26,Nov 20,Jun 24,Nov 18,Jun 23,Nov 17,Jun 22,Nov 16,Jun 28,Nov 15,Jun 26,Nov 20,Jun 25,Nov 19,Jun 24,Nov 18,Jun 23,Nov 17,Jun 28,Nov 15,Jun 27,Nov 21,Jun 26,Nov 20,Jun 25,Nov 19,Jun 23,Nov 17,Jun 22,Nov 16,Jun 28,Nov 15,Jun 27,Nov 21,Jun 25,Nov 19,Jun 24,Nov 18,Jun 23,Nov 17,Jun 22,Nov 16,Jun 27,Nov 21,Jun 26,Nov 20,Jun 25,Nov 19,Jun 24,Nov 18,Jun 22,Nov 16,Jun 28,Nov 15,Jun 27,Nov 21,Jun 26,Nov 20,Jun 24,Nov 18,Jun 23,Nov 17,Jun 22,Nov 16,Jun 28,Nov 15,Jun 26,Nov 20
Bug-Off (2),https://acnhcdn.com/latest/NpcIcon/chy.png,Basegame event,Bug-Off,Jul 22,Dec 16,Jul 27,Dec 21,Jul 22,Yes,9:00 AM,6:00 PM,No,1.0.0,1.0.0,InsectConvention2,ydqSfNH8xzEBTsFyN,Jul 26,Dec 20,Jul 25,Dec 19,Jul 24,Dec 18,Jul 22,Dec 16,Jul 28,Dec 15,Jul 27,Dec 21,Jul 26,Dec 20,Jul 24,Dec 18,Jul 23,Dec 17,Jul 22,Dec 16,Jul 28,Dec 15,Jul 26,Dec 20,Jul 25,Dec 19,Jul 24,Dec 18,Jul 23,Dec 17,Jul 28,Dec 15,Jul 27,Dec 21,Jul 26,Dec 20,Jul 25,Dec 19,Jul 23,Dec 17,Jul 22,Dec 16,Jul 28,Dec 15,Jul 27,Dec 21,Jul 25,Dec 19,Jul 24,Dec 18,Jul 23,Dec 17,Jul 22,Dec 16,Jul 27,Dec 21,Jul 26,Dec 20,Jul 25,Dec 19,Jul 24,Dec 18,Jul 22,Dec 16,Jul 28,Dec 15,Jul 27,Dec 21,Jul 26,Dec 20,Jul 24,Dec 18
Bug-Off (3),https://acnhcdn.com/latest/NpcIcon/chy.png,Basegame event,Bug-Off,Aug 26,Jan 21,Aug 24,Jan 20,Aug 22,Yes,9:00 AM,6:00 PM,No,1.0.0,1.0.0,InsectConvention3,6MhLGpMakesD7B4kB,Aug 23,Jan 18,Aug 22,Jan 17,Aug 28,Jan 16,Aug 26,Jan 15,Aug 25,Jan 20,Aug 24,Jan 19,Aug 23,Jan 18,Aug 28,Jan 17,Aug 27,Jan 15,Aug 26,Jan 21,Aug 25,Jan 20,Aug 23,Jan 19,Aug 22,Jan 17,Aug 28,Jan 16,Aug 27,Jan 15,Aug 25,Jan 21,Aug 24,Jan 19,Aug 23,Jan 18,Aug 22,Jan 17,Aug 27,Jan 16,Aug 26,Jan 21,Aug 25,Jan 20,Aug 24,Jan 19,Aug 22,Jan 18,Aug 28,Jan 16,Aug 27,Jan 15,Aug 26,Jan 21,Aug 24,Jan 20,Aug 23,Jan 18,Aug 22,Jan 17,Aug 28,Jan 16,Aug 26,Jan 15,Aug 25,Jan 20,Aug 24,Jan 19,Aug 23,Jan 18,Aug 28,Jan 17
Bug-Off (4),https://acnhcdn.com/latest/NpcIcon/chy.png,Basegame event,Bug-Off,Sep 23,Feb 18,Sep 28,Feb 17,Sep 22,Yes,9:00 AM,6:00 PM,No,1.0.0,1.0.0,InsectConvention4,zAAgH7eNTW8cCyLD2,Sep 27,Feb 15,Sep 26,Feb 21,Sep 25,Feb 20,Sep 23,Feb 19,Sep 22,Feb 17,Sep 28,Feb 16,Sep 27,Feb 15,Sep 25,Feb 21,Sep 24,Feb 19,Sep 23,Feb 18,Sep 22,Feb 17,Sep 27,Feb 16,Sep 26,Feb 21,Sep 25,Feb 20,Sep 24,Feb 19,Sep 22,Feb 18,Sep 28,Feb 16,Sep 27,Feb 15,Sep 26,Feb 21,Sep 24,Feb 20,Sep 23,Feb 18,Sep 22,Feb 17,Sep 28,Feb 16,Sep 26,Feb 15,Sep 25,Feb 20,Sep 24,Feb 19,Sep 23,Feb 18,Sep 28,Feb 17,Sep 27,Feb 15,Sep 26,Feb 21,Sep 25,Feb 20,Sep 23,Feb 19,Sep 22,Feb 17,Sep 28,Feb 16,Sep 27,Feb 15,Sep 25,Feb 21
Countdown,https://acnhcdn.com/latest/FtrIcon/ToolJuiceFuzzyapple.png,Basegame event,Countdown,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,No,11:00 PM,2:00 AM,Yes,1.0.0,1.0.0,Countdown,ofQGGtcwwK7dm9tpW,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31,Dec 31
New Year's Day,https://acnhcdn.com/latest/FtrIcon/ToolJuiceFuzzyapple.png,Basegame event,New Year's Day,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,No,5:00 AM,5:00 AM,Yes,1.0.0,1.0.0,NewYear,ch6c4KYSFvhaS7uw7,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1,Jan 1
Lunar New Year,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentShunsetsu.png,Basegame event,Lunar New Year,Jan 22,Jan 22,Feb 10,Feb 10,Jan 22,Yes,5:00 AM,5:00 AM,Yes,1.0.0,1.0.0,LunarNewYear,Qfjg2AyfyaHs8gMni,Jan 29,Jan 29,Feb 17,Feb 17,Feb 6,Feb 6,Jan 26,Jan 26,Feb 13,Feb 13,Feb 3,Feb 3,Jan 23,Jan 23,Feb 11,Feb 11,Jan 31,Jan 31,Feb 19,Feb 19,Feb 8,Feb 8,Jan 28,Jan 28,Feb 15,Feb 15,Feb 4,Feb 4,Jan 24,Jan 24,Feb 12,Feb 12,Feb 1,Feb 1,Jan 22,Jan 22,Feb 10,Feb 10,Jan 30,Jan 30,Feb 17,Feb 17,Feb 6,Feb 6,Jan 26,Jan 26,Feb 14,Feb 14,Feb 2,Feb 2,Jan 23,Jan 23,Feb 11,Feb 11,Feb 1,Feb 1,Feb 19,Feb 19,Feb 8,Feb 8,Jan 28,Jan 28,Feb 15,Feb 15,Feb 4,Feb 4,Jan 24,Jan 24,Feb 12,Feb 12,Feb 2,Feb 2
